DATE: 2022-02-08 11:47:44 pm|Action: addAppointmentMTLA1212|MTLA121212|PHYSICIAN | Parameters: USER:MONserverMTLA1212/ AppointmentId: MTLA121212/ AppointmentType: PHYSICIAN/ NumofAppointment: 12 | Action Status: Success | Resonse: Appointment added
DATE: 2022-02-08 11:47:58 pm|Action: addAppointmentMTLA1212|SHEA121212|SURGEON | Parameters: USER:sheserverMTLA1212/ AppointmentId: SHEA121212/ AppointmentType: SURGEON/ NumofAppointment: 12 | Action Status: Success | Resonse: Appointment added
DATE: 2022-02-08 11:47:58 pm|Action: addAppointmentMTLA1212|SHEA121212|SURGEON | Parameters: USER:SHEserverMTLA1212/ AppointmentId: SHEA121212/ AppointmentType: SURGEON/ NumofAppointment: 12 | Action Status: Success | Resonse: Appointment added
DATE: 2022-02-09 11:47:07 am|Action: addAppointmentMTLA1212|MTLA121212|PHYSICIAN | Parameters: USER:MONserverMTLA1212/ AppointmentId: MTLA121212/ AppointmentType: PHYSICIAN/ NumofAppointment: 12 | Action Status: Success | Resonse: Appointment added
DATE: 2022-02-09 11:47:37 am|Action: addAppointmentMTLA1212|QUEA121212|SURGEON | Parameters: USER:MONserverMTLA1212/ AppointmentId: QUEA121212/ AppointmentType: SURGEON/ NumofAppointment: 12 | Action Status: Success | Resonse: Appointment added
DATE: 2022-02-09 11:47:37 am|Action: addAppointmentMTLA1212|QUEA121212|SURGEON | Parameters: USER:QUEserverMTLA1212/ AppointmentId: QUEA121212/ AppointmentType: SURGEON/ NumofAppointment: 12 | Action Status: Success | Resonse: Appointment added
DATE: 2022-02-09 01:07:57 pm|Action: addAppointmentMTLA1212|MTLA121212|PHYSICIAN | Parameters: USER:MONserverMTLA1212/ AppointmentId: MTLA121212/ AppointmentType: PHYSICIAN/ NumofAppointment: 12 | Action Status: Success | Resonse: Appointment added
DATE: 2022-02-09 01:08:19 pm|Action: addAppointmentMTLA1212|QUEA121212|SURGEON | Parameters: USER:MONserverMTLA1212/ AppointmentId: QUEA121212/ AppointmentType: SURGEON/ NumofAppointment: 12 | Action Status: Success | Resonse: Appointment added
DATE: 2022-02-09 01:08:19 pm|Action: addAppointmentMTLA1212|QUEA121212|SURGEON | Parameters: USER:QUEserverMTLA1212/ AppointmentId: QUEA121212/ AppointmentType: SURGEON/ NumofAppointment: 12 | Action Status: Success | Resonse: Appointment added
DATE: 2022-02-09 01:08:24 pm|Action: List of Appointments | Parameters: USER: MONserverMTLA1212 | Action Status: Success | Resonse: QUEServeraccessed
DATE: 2022-02-09 01:08:24 pm|Action: List of Appointments | Parameters: USER: SHEserverMTLA1212 | Action Status: Success | Resonse: MonServeraccessed
DATE: 2022-02-09 01:08:24 pm|Action: List of Appointments | Parameters: USER: AllserverMTLA1212 | Action Status: Success | Resonse: {PHYSICIAN={MTLA121212=Appointment{Number of Appoinntment='12}, MTLE121212=Appointment{Number of Appoinntment='10}}, SURGEON={MTLN121212=Appointment{Number of Appoinntment='10}}, DENTIST={MTLA121212=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={QUEE121212=Appointment{Number of Appoinntment='10}}, SURGEON={QUEN121212=Appointment{Number of Appoinntment='10}, QUEA121212=Appointment{Number of Appoinntment='12}}, DENTIST={QUEA121212=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={SHEE121212=Appointment{Number of Appoinntment='10}}, SURGEON={SHEN121212=Appointment{Number of Appoinntment='10}}, DENTIST={SHEA121212=Appointment{Number of Appoinntment='10}}}
DATE: 2022-02-09 01:09:54 pm|Action: Appointment BookedMTLA121212 | Parameters: USER: MonserverMTLP1212/ AppointmentId: MTLA121212/ AppointmentType: PHYSICIAN | Action Status: Success | Resonse: TRUE
DATE: 2022-02-09 01:09:58 pm|Action: getAppointmentSchedule | Parameters: USER:allserver[MTLA121212PHYSICIAN] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-02-09 01:10:42 pm|Action: Appointment BookedQUEE121212 | Parameters: USER: QUEserverMTLP1212/ AppointmentId: QUEE121212/ AppointmentType: PHYSICIAN | Action Status: Success | Resonse: TRUE
DATE: 2022-02-09 01:10:42 pm|Action: Appointment BookedQUEE121212 | Parameters: USER:QUEserverMTLP1212/ AppointmentId: QUEE121212/ AppointmentType: PHYSICIAN/ NumofAppointment:  | Action Status: Success | Resonse: Appointment added
DATE: 2022-02-09 01:10:44 pm|Action: getAppointmentSchedule | Parameters: USER:sheormtlserver[QUEE121212PHYSICIAN] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-02-09 01:10:44 pm|Action: getAppointmentSchedule | Parameters: USER:allserver[MTLA121212PHYSICIAN][QUEE121212PHYSICIAN] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-02-09 01:11:03 pm|Action: Appointment CancelledQUEE121212 | Parameters: USER: QUEserverMTLP1212/ AppointmentId: QUEE121212/ AppointmentType: PHYSICIAN | Action Status: Success | Resonse: true
DATE: 2022-02-09 01:11:03 pm|Action: Appointment CancelledQUEE121212 | Parameters: USER:QUEserverMTLP1212/ AppointmentId: QUEE121212/ AppointmentType: PHYSICIAN/ NumofAppointment:  | Action Status: Success | Resonse: true
DATE: 2022-02-09 01:11:05 pm|Action: getAppointmentSchedule | Parameters: USER:sheormtlserver[] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-02-09 01:11:06 pm|Action: getAppointmentSchedule | Parameters: USER:allserver[MTLA121212PHYSICIAN][] | Action Status: Success | Resonse: getAppointmentSchedule done
