DATE: 2022-02-09 09:22:50 pm|Action: Appointment removedQUEE121212 | Parameters: USER: QUEserverQUEA1212/ AppointmentId: QUEE121212/ AppointmentType: PHYSICIAN/ NumofAppointmentRemoved: 0 | Action Status: Success | Resonse: removed
DATE: 2022-02-09 09:22:56 pm|Action: List of Appointments | Parameters: USER: MONserverQUEA1212 | Action Status: Success | Resonse: MonServeraccessed
DATE: 2022-02-09 09:22:56 pm|Action: List of Appointments | Parameters: USER: SHEserverQUEA1212 | Action Status: Success | Resonse: MonServeraccessed
DATE: 2022-02-09 09:22:56 pm|Action: List of Appointments | Parameters: USER: AllserverQUEA1212 | Action Status: Success | Resonse: {PHYSICIAN={QUEE121212=Appointment{Number of Appoinntment='0}}, SURGEON={QUEN121212=Appointment{Number of Appoinntment='10}}, DENTIST={QUEA121212=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={MTLE121212=Appointment{Number of Appoinntment='10}}, SURGEON={MTLN121212=Appointment{Number of Appoinntment='10}}, DENTIST={MTLA121212=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={SHEE121212=Appointment{Number of Appoinntment='10}}, SURGEON={SHEN121212=Appointment{Number of Appoinntment='10}}, DENTIST={SHEA121212=Appointment{Number of Appoinntment='10}}}
DATE: 2022-02-10 11:59:22 pm|Action: getAppointmentSchedule | Parameters: USER:allservernull | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-02-10 11:59:26 pm|Action: List of Appointments | Parameters: USER: MONserverQUEA1212 | Action Status: Success | Resonse: MonServeraccessed
DATE: 2022-02-10 11:59:26 pm|Action: List of Appointments | Parameters: USER: SHEserverQUEA1212 | Action Status: Success | Resonse: MonServeraccessed
DATE: 2022-02-10 11:59:26 pm|Action: List of Appointments | Parameters: USER: AllserverQUEA1212 | Action Status: Success | Resonse: {PHYSICIAN={QUEE121212=Appointment{Number of Appoinntment='10}}, SURGEON={QUEN121212=Appointment{Number of Appoinntment='10}}, DENTIST={QUEA121212=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={MTLE121212=Appointment{Number of Appoinntment='10}}, SURGEON={MTLN121212=Appointment{Number of Appoinntment='10}}, DENTIST={MTLA121212=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={SHEE121212=Appointment{Number of Appoinntment='10}}, SURGEON={SHEN121212=Appointment{Number of Appoinntment='10}}, DENTIST={SHEA121212=Appointment{Number of Appoinntment='10}}}
DATE: 2022-02-10 11:59:30 pm|Action: getAppointmentSchedule | Parameters: USER:allservernull | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-02-10 11:59:38 pm|Action: List of Appointments | Parameters: USER: MONserverQUEA1212 | Action Status: Success | Resonse: MonServeraccessed
DATE: 2022-02-10 11:59:38 pm|Action: List of Appointments | Parameters: USER: SHEserverQUEA1212 | Action Status: Success | Resonse: MonServeraccessed
