DATE: 2022-02-20 04:09:11 PM|Action: addAppointmentMTLA1212|MTLA121212|PHYSICIAN | Parameters: USER:MONserverMTLA1212/ AppointmentId: MTLA121212/ AppointmentType: PHYSICIAN/ NumofAppointment: 12 | Action Status: Success | Resonse: Appointment added
DATE: 2022-02-20 04:09:31 PM|Action: getAppointmentSchedule | Parameters: USER:allservernull | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-02-20 04:11:20 PM|Action: getAppointmentSchedule | Parameters: USER:allservernull | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-02-20 04:11:20 PM|Action: List of Appointments | Parameters: USER: MONserverMTLA1212 | Action Status: Success | Resonse: QUEServeraccessed
DATE: 2022-02-20 04:11:20 PM|Action: Appointment BookedQUEE121212 | Parameters: USER: QUEserverMTLA1212/ AppointmentId: QUEE121212/ AppointmentType: PHYSICIAN | Action Status: Success | Resonse: TRUE
DATE: 2022-02-20 04:11:20 PM|Action: Appointment BookedQUEE121212 | Parameters: USER:queserverMTLA1212/ AppointmentId: QUEE121212/ AppointmentType: PHYSICIAN/ NumofAppointment:  | Action Status: Success | Resonse: Appointment added
DATE: 2022-02-20 04:11:26 PM|Action: getAppointmentSchedule | Parameters: USER:sheormtlserver[QUEE121212PHYSICIAN] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-02-20 04:11:26 PM|Action: getAppointmentSchedule | Parameters: USER:allservernull[QUEE121212PHYSICIAN] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-02-20 06:06:49 PM|Action: addAppointmentMTLA1212|MTLE121212|SURGEON | Parameters: USER:MONserverMTLA1212/ AppointmentId: MTLE121212/ AppointmentType: SURGEON/ NumofAppointment: 12 | Action Status: Success | Resonse: Appointment added
DATE: 2022-02-20 06:06:51 PM|Action: getAppointmentSchedule | Parameters: USER:sheormtlserver[QUEE121212PHYSICIAN] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-02-20 06:06:51 PM|Action: getAppointmentSchedule | Parameters: USER:allservernull[QUEE121212PHYSICIAN] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-02-20 06:10:23 PM|Action: List of Appointments | Parameters: USER: MONserverMTLA1212 | Action Status: Success | Resonse: QUEServeraccessed
DATE: 2022-02-20 06:10:23 PM|Action: List of Appointments | Parameters: USER: SHEserverMTLA1212 | Action Status: Success | Resonse: MonServeraccessed
DATE: 2022-02-20 06:10:23 PM|Action: List of Appointments | Parameters: USER: AllserverMTLA1212 | Action Status: Success | Resonse: {PHYSICIAN={MTLA121212=Appointment{Number of Appoinntment='12}, MTLE140222=Appointment{Number of Appoinntment='10}}, SURGEON={MTLE121212=Appointment{Number of Appoinntment='12}, MTLN140222=Appointment{Number of Appoinntment='10}}, DENTIST={MTLA140222=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={QUEE121212=Appointment{Number of Appoinntment='9}}, SURGEON={QUEN121212=Appointment{Number of Appoinntment='10}}, DENTIST={QUEA121212=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={SHEE121212=Appointment{Number of Appoinntment='10}}, SURGEON={SHEN121212=Appointment{Number of Appoinntment='10}}, DENTIST={SHEA121212=Appointment{Number of Appoinntment='10}}}
DATE: 2022-02-20 06:11:20 PM|Action: Appointment notAddedSHEE121212 | Parameters: USER: MTLserverMTLA1212/ AppointmentId: SHEE121212/ AppointmentType: PHYSICIAN/ NumofAppointment: 12 | Action Status: Failed | Resonse: Appointment Notadded
DATE: 2022-02-20 06:12:17 PM|Action: addAppointmentMTLA1212|MTLM121212|DENTIST | Parameters: USER:MONserverMTLA1212/ AppointmentId: MTLM121212/ AppointmentType: DENTIST/ NumofAppointment: 12 | Action Status: Success | Resonse: Appointment added
DATE: 2022-02-20 06:12:42 PM|Action: addAppointmentMTLA1212|MTLM121212|PHYSICIAN | Parameters: USER:MONserverMTLA1212/ AppointmentId: MTLM121212/ AppointmentType: PHYSICIAN/ NumofAppointment: 12 | Action Status: Success | Resonse: Appointment added
DATE: 2022-02-20 06:13:24 PM|Action: Appointment CancelledQUEE121212 | Parameters: USER: QUEserverMTLA1212/ AppointmentId: QUEE121212/ AppointmentType: PHYSICIAN | Action Status: Success | Resonse: true
DATE: 2022-02-20 06:13:24 PM|Action: Appointment CancelledQUEE121212 | Parameters: USER:QUEserverMTLA1212/ AppointmentId: QUEE121212/ AppointmentType: PHYSICIAN/ NumofAppointment:  | Action Status: Success | Resonse: true
DATE: 2022-02-23 02:23:30 PM|Action: List of Appointments | Parameters: USER: MONserverMTLA1212 | Action Status: Success | Resonse: QUEServeraccessed
DATE: 2022-02-23 02:23:30 PM|Action: List of Appointments | Parameters: USER: SHEserverMTLA1212 | Action Status: Success | Resonse: MonServeraccessed
