DATE: 2022-02-20 06:13:43 PM|Action: List of Appointments | Parameters: USER: MONserverQUEP1212 | Action Status: Success | Resonse: MonServeraccessed
DATE: 2022-02-20 06:13:43 PM|Action: List of Appointments | Parameters: USER: SHEserverQUEP1212 | Action Status: Success | Resonse: MonServeraccessed
DATE: 2022-02-20 06:13:43 PM|Action: List of Appointments | Parameters: USER: AllserverQUEP1212 | Action Status: Success | Resonse: {PHYSICIAN={QUEE121212=Appointment{Number of Appoinntment='10}}, SURGEON={QUEN121212=Appointment{Number of Appoinntment='10}}, DENTIST={QUEA121212=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={MTLA121212=Appointment{Number of Appoinntment='12}, MTLM121212=Appointment{Number of Appoinntment='12}, MTLE140222=Appointment{Number of Appoinntment='10}}, SURGEON={MTLE121212=Appointment{Number of Appoinntment='12}, MTLN140222=Appointment{Number of Appoinntment='10}}, DENTIST={MTLM121212=Appointment{Number of Appoinntment='12}, MTLA140222=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={SHEE121212=Appointment{Number of Appoinntment='10}}, SURGEON={SHEN121212=Appointment{Number of Appoinntment='10}}, DENTIST={SHEA121212=Appointment{Number of Appoinntment='10}}}
DATE: 2022-02-20 06:14:11 PM|Action: List of Appointments | Parameters: USER: MONserverQUEP1212 | Action Status: Success | Resonse: MonServeraccessed
DATE: 2022-02-20 06:14:11 PM|Action: List of Appointments | Parameters: USER: SHEserverQUEP1212 | Action Status: Success | Resonse: MonServeraccessed
DATE: 2022-02-20 06:14:11 PM|Action: List of Appointments | Parameters: USER: AllserverQUEP1212 | Action Status: Success | Resonse: {PHYSICIAN={QUEE121212=Appointment{Number of Appoinntment='10}}, SURGEON={QUEN121212=Appointment{Number of Appoinntment='10}}, DENTIST={QUEA121212=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={MTLA121212=Appointment{Number of Appoinntment='12}, MTLM121212=Appointment{Number of Appoinntment='12}, MTLE140222=Appointment{Number of Appoinntment='10}}, SURGEON={MTLE121212=Appointment{Number of Appoinntment='12}, MTLN140222=Appointment{Number of Appoinntment='10}}, DENTIST={MTLM121212=Appointment{Number of Appoinntment='12}, MTLA140222=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={SHEE121212=Appointment{Number of Appoinntment='10}}, SURGEON={SHEN121212=Appointment{Number of Appoinntment='10}}, DENTIST={SHEA121212=Appointment{Number of Appoinntment='10}}}
DATE: 2022-02-20 06:14:11 PM|Action: Appointment BookedQUEE121212 | Parameters: USER: QUEserverQUEP1212/ AppointmentId: QUEE121212/ AppointmentType: PHYSICIAN | Action Status: Success | Resonse: TRUE
DATE: 2022-02-20 06:14:32 PM|Action: List of Appointments | Parameters: USER: MONserverQUEP1212 | Action Status: Success | Resonse: MonServeraccessed
DATE: 2022-02-20 06:14:32 PM|Action: List of Appointments | Parameters: USER: SHEserverQUEP1212 | Action Status: Success | Resonse: MonServeraccessed
DATE: 2022-02-20 06:14:32 PM|Action: List of Appointments | Parameters: USER: AllserverQUEP1212 | Action Status: Success | Resonse: {PHYSICIAN={QUEE121212=Appointment{Number of Appoinntment='9}}, SURGEON={QUEN121212=Appointment{Number of Appoinntment='10}}, DENTIST={QUEA121212=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={MTLA121212=Appointment{Number of Appoinntment='12}, MTLM121212=Appointment{Number of Appoinntment='12}, MTLE140222=Appointment{Number of Appoinntment='10}}, SURGEON={MTLE121212=Appointment{Number of Appoinntment='12}, MTLN140222=Appointment{Number of Appoinntment='10}}, DENTIST={MTLM121212=Appointment{Number of Appoinntment='12}, MTLA140222=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={SHEE121212=Appointment{Number of Appoinntment='10}}, SURGEON={SHEN121212=Appointment{Number of Appoinntment='10}}, DENTIST={SHEA121212=Appointment{Number of Appoinntment='10}}}
DATE: 2022-02-20 06:14:32 PM|Action: Appointment BookedMTLA121212 | Parameters: USER: mtlserverQUEP1212/ AppointmentId: MTLA121212/ AppointmentType: PHYSICIAN | Action Status: Success | Resonse: TRUE
DATE: 2022-02-20 06:14:32 PM|Action: Appointment BookedMTLA121212 | Parameters: USER:MTLserverQUEP1212/ AppointmentId: MTLA121212/ AppointmentType: PHYSICIAN/ NumofAppointment:  | Action Status: Success | Resonse: Appointment added
